time (s)	det(V)
7185.644070	-0.217119	
7185.645553	-0.221590	
7185.647311	-0.226497	
7185.648786	-0.232914	
7185.650551	-0.241216	
7185.652050	-0.246747	
7185.653810	-0.256339	
7185.655317	-0.266571	
7185.656977	-0.276754	
7185.658497	-0.285206	
7185.660132	-0.298205	
7185.661697	-0.309218	
7185.663304	-0.320735	
7185.664911	-0.331970	
7185.666469	-0.346855	
7185.668103	-0.359738	
7185.669625	-0.374223	
7185.671298	-0.391070	
7185.672771	-0.407336	
7185.674507	-0.423151	
7185.675981	-0.441227	
7185.677697	-0.460417	
7185.679171	-0.471930	
7185.680870	-0.488664	
7185.682364	-0.507190	
7185.684092	-0.528923	
7185.685578	-0.546752	
7185.687281	-0.569440	
7185.688753	-0.590850	
7185.690420	-0.612946	
7185.691924	-0.632680	
7185.693570	-0.656742	
7185.695115	-0.677572	
7185.696715	-0.698866	
7185.698334	-0.719938	
7185.699821	-0.741268	
7185.701463	-0.760563	
7185.702987	-0.780053	
7185.704634	-0.800263	
7185.706112	-0.818229	
7185.707752	-0.834225	
7185.709227	-0.849771	
7185.710873	-0.865533	
7185.712352	-0.876905	
7185.713980	-0.888575	
7185.715483	-0.898759	
7185.717063	-0.907702	
7185.718603	-0.913998	
7185.720138	-0.919984	
7185.721725	-0.925846	
7185.723213	-0.929177	
7185.724858	-0.929197	
7185.726364	-0.930631	
7185.728032	-0.928879	
7185.729532	-0.925696	
7185.731176	-0.920532	
7185.732668	-0.916621	
7185.734305	-0.909805	
7185.735798	-0.902924	
7185.737409	-0.895589	
7185.738911	-0.888600	
7185.740545	-0.879572	
7185.742032	-0.869824	
7185.743615	-0.861062	
7185.745158	-0.850576	
7185.746676	-0.839647	
7185.748315	-0.827599	
7185.749805	-0.818068	
7185.751436	-0.804879	
7185.752959	-0.794127	
7185.754607	-0.782973	
7185.756085	-0.774018	
7185.757658	-0.761873	
7185.759148	-0.751741	
7185.760721	-0.742323	
7185.762240	-0.731225	
7185.763734	-0.719853	
7185.765328	-0.709698	
7185.766827	-0.701226	
7185.768418	-0.689303	
7185.769912	-0.681113	
7185.771479	-0.672617	
7185.773012	-0.666103	
7185.774582	-0.656609	
7185.776079	-0.650441	
7185.777617	-0.644391	
7185.779153	-0.637881	
7185.780686	-0.631194	
7185.782242	-0.626134	
7185.783739	-0.623435	
7185.785323	-0.618469	
7185.786833	-0.615717	
7185.788421	-0.614255	
7185.789919	-0.613743	
7185.791505	-0.611274	
7185.793019	-0.612752	
7185.794601	-0.612490	
7185.796100	-0.612599	
7185.797647	-0.612495	
7185.799176	-0.614634	
7185.800664	-0.617228	
7185.802270	-0.617377	
7185.803760	-0.620386	
7185.805344	-0.624362	
7185.806862	-0.627967	
7185.808458	-0.629824	
7185.809946	-0.634147	
7185.811512	-0.636950	
7185.813048	-0.638336	
7185.814565	-0.638840	
7185.816138	-0.641257	
7185.817658	-0.642522	
7185.819245	-0.640733	
7185.820721	-0.640085	
7185.822335	-0.639565	
7185.823827	-0.636398	
7185.825420	-0.631581	
7185.826909	-0.627923	
7185.828487	-0.621599	
7185.830004	-0.613389	
7185.831576	-0.604442	
7185.833105	-0.596651	
7185.834626	-0.584747	
7185.836182	-0.572916	
7185.837718	-0.561641	
7185.839299	-0.549693	
7185.840782	-0.536033	
7185.842372	-0.520347	
7185.843878	-0.506936	
7185.845448	-0.491198	
7185.846973	-0.474170	
7185.848538	-0.462464	
7185.850064	-0.447978	
7185.851593	-0.429842	
7185.853136	-0.413794	
7185.854659	-0.398744	
7185.856232	-0.383920	
7185.857726	-0.367935	
7185.859289	-0.353055	
7185.860815	-0.339592	
7185.862406	-0.325529	
7185.863907	-0.311688	
7185.865448	-0.299204	
7185.866988	-0.288122	
7185.868549	-0.274579	
7185.870070	-0.264141	
7185.871554	-0.254816	
7185.873167	-0.246373	
7185.874660	-0.236495	
7185.876257	-0.229897	
7185.877746	-0.222311	
7185.879329	-0.214509	
7185.880845	-0.206774	
7185.882407	-0.200232	
7185.883941	-0.195511	
7185.885480	-0.188461	
7185.887032	-0.182858	
7185.888545	-0.178383	
7185.890109	-0.174161	
7185.891633	-0.167414	
7185.893220	-0.163566	
7185.894715	-0.157391	
7185.896288	-0.151361	
7185.897814	-0.144085	
7185.899408	-0.139070	
7185.900907	-0.133253	
7185.902473	-0.125322	
7185.904004	-0.120105	
7185.905547	-0.115231	
7185.907082	-0.109257	
7185.908598	-0.101998	
7185.910189	-0.097703	
7185.911681	-0.091057	
7185.913448	-0.083790	
7185.915007	-0.076663	
7185.916685	-0.071108	
7185.918268	-0.063023	
7185.919932	-0.056276	
7185.921513	-0.051253	
7185.923153	-0.046250	
7185.924740	-0.039192	
7185.926368	-0.034849	
7185.927972	-0.029625	
7185.929558	-0.023977	
7185.931220	-0.018293	
7185.932784	-0.012867	
7185.934471	-0.006712	
7185.936041	-0.001914	
7185.937719	0.001442	
7185.939271	0.004552	
7185.940950	0.007774	
7185.942488	0.011803	
7185.944210	0.015750	
7185.945698	0.020226	
7185.947450	0.026373	
7185.948926	0.031980	
7185.950708	0.037451	
7185.952189	0.044943	
7185.953953	0.052271	
7185.955436	0.058825	
7185.957199	0.067128	
7185.958699	0.075881	
7185.960454	0.084506	
7185.961958	0.094516	
7185.963697	0.107133	
7185.965212	0.119500	
7185.966937	0.130694	
7185.968473	0.145752	
7185.970186	0.161527	
7185.971735	0.174462	
7185.973432	0.189564	
7185.974988	0.205855	
7185.976675	0.220953	
7185.978250	0.238041	
7185.979906	0.254400	
7185.981489	0.271718	
7185.983130	0.285765	
7185.984744	0.302994	
7185.986369	0.318007	
7185.988002	0.331542	
7185.989623	0.343643	
7185.991291	0.356989	
7185.992903	0.364119	
7185.994583	0.375451	
7185.996173	0.386678	
7185.997851	0.397486	
7185.999418	0.405236	
7186.001088	0.414240	
7186.002651	0.421418	
7186.004316	0.426832	
7186.005869	0.430566	
7186.007574	0.434849	
7186.009058	0.437761	
7186.010769	0.437697	
7186.012251	0.439070	
7186.013952	0.439497	
7186.015435	0.439256	
7186.017118	0.436730	
7186.018614	0.437125	
7186.020270	0.434643	
7186.021813	0.430973	
7186.023435	0.428524	
7186.025006	0.426949	
7186.026595	0.423843	
7186.028195	0.421946	
7186.029757	0.421446	
7186.031365	0.420431	
7186.032881	0.418965	
7186.034567	0.419150	
7186.036053	0.419352	
7186.037762	0.419557	
7186.039242	0.418671	
7186.040975	0.420254	
7186.042455	0.422707	
7186.044168	0.424589	
7186.045650	0.429604	
7186.047359	0.435026	
7186.048840	0.439469	
7186.050532	0.445229	
7186.052021	0.453254	
7186.053701	0.461174	
7186.055220	0.469238	
7186.056858	0.476646	
7186.058406	0.486443	
7186.059888	0.494428	
7186.061557	0.504482	
7186.063042	0.515814	
7186.064682	0.527903	
7186.066206	0.537349	
7186.067847	0.551118	
7186.069338	0.563203	
7186.070980	0.575175	
7186.072466	0.586152	
7186.074112	0.598954	
7186.075589	0.612405	
7186.077216	0.623213	
7186.078702	0.635999	
7186.080285	0.650045	
7186.081816	0.664165	
7186.083346	0.675807	
7186.084969	0.691433	
7186.086463	0.702345	
7186.088095	0.714768	
7186.089625	0.724682	
7186.091277	0.739434	
7186.092756	0.747857	
7186.094402	0.759680	
7186.095870	0.769876	
7186.097514	0.780438	
7186.098996	0.789276	
7186.100628	0.796608	
7186.102128	0.805035	
7186.103619	0.811654	
7186.105184	0.813334	
7186.106707	0.818075	
7186.108301	0.820931	
7186.109808	0.820137	
7186.111367	0.819243	
7186.112887	0.817523	
7186.114476	0.814876	
7186.115956	0.809434	
7186.117527	0.802804	
7186.119012	0.795190	
7186.120586	0.785421	
7186.122099	0.773787	
7186.123595	0.761030	
7186.125160	0.747813	
7186.126686	0.731687	
7186.128280	0.715751	
7186.129790	0.700311	
7186.131349	0.682498	
7186.132868	0.663557	
7186.134421	0.644724	
7186.135943	0.625674	
7186.137484	0.606483	
7186.139027	0.584154	
7186.140556	0.564005	
7186.142149	0.544226	
7186.143636	0.521361	
7186.145210	0.501151	
7186.146738	0.481871	
7186.148331	0.461746	
7186.149837	0.441310	
7186.151397	0.423537	
7186.152921	0.405647	
7186.154490	0.386017	
7186.156000	0.368067	
7186.157529	0.355813	
7186.159053	0.341061	
7186.160584	0.325053	
7186.162181	0.309346	
7186.163661	0.296552	
7186.165233	0.281736	
7186.166750	0.267649	
7186.168346	0.256027	
7186.169844	0.242915	
7186.171350	0.231696	
7186.172928	0.220337	
7186.174450	0.211575	
7186.176038	0.200203	
7186.177512	0.192018	
7186.179118	0.184460	
7186.180621	0.178515	
7186.182223	0.172158	
7186.183716	0.165145	
7186.185296	0.161245	
7186.186800	0.156891	
7186.188367	0.151388	
7186.189890	0.148052	
7186.191448	0.146872	
7186.192973	0.142787	
7186.194491	0.140576	
7186.196053	0.141486	
7186.197585	0.141430	
7186.199164	0.140681	
7186.200649	0.140527	
7186.202219	0.142948	
7186.203745	0.143666	
7186.205313	0.144383	
7186.206844	0.145776	
7186.208376	0.148508	
7186.209935	0.148640	
7186.211461	0.150945	
7186.213048	0.154183	
7186.214547	0.157463	
7186.216148	0.158731	
7186.217652	0.161922	
7186.219263	0.163747	
7186.220748	0.165471	
7186.222311	0.165999	
7186.223820	0.167267	
7186.225383	0.169262	
7186.226907	0.168794	
7186.228457	0.169664	
7186.229997	0.170820	
7186.231519	0.171264	
7186.233072	0.169773	
7186.234549	0.170204	
7186.236171	0.169455	
7186.237667	0.166595	
7186.239271	0.163924	
7186.240767	0.161588	
7186.242351	0.159755	
7186.243849	0.154824	
7186.245399	0.151267	
7186.246931	0.147488	
7186.248453	0.144467	
7186.250038	0.138936	
7186.251530	0.136169	
7186.253106	0.131069	
7186.254628	0.124660	
7186.256222	0.118215	
7186.257731	0.114589	
7186.259301	0.107338	
7186.260832	0.101163	
7186.262385	0.095076	
7186.263922	0.090403	
7186.265435	0.084735	
7186.267009	0.078217	
7186.268523	0.074024	
7186.270112	0.067881	
7186.271603	0.061983	
7186.273197	0.055139	
7186.274690	0.051159	
7186.276284	0.043526	
7186.277772	0.039280	
7186.279355	0.033459	
7186.280856	0.029330	
7186.282420	0.024399	
7186.283956	0.019235	
7186.285484	0.016258	
7186.287262	0.010691	
7186.288740	0.005365	
7186.290487	0.000330	
7186.291987	-0.003070	
7186.293745	-0.008375	
7186.295268	-0.012283	
7186.297009	-0.015348	
7186.298529	-0.018361	
7186.300221	-0.023703	
7186.301755	-0.025645	
7186.303438	-0.028759	
7186.304992	-0.032167	
7186.306670	-0.036163	
7186.308239	-0.037822	
7186.309889	-0.042137	
7186.311483	-0.043502	
7186.313117	-0.045126	
7186.314720	-0.045960	
7186.316344	-0.049444	
7186.317956	-0.052675	
7186.319554	-0.053803	
7186.321228	-0.056047	
7186.322815	-0.057597	
7186.324491	-0.057259	
7186.326076	-0.059237	
7186.327741	-0.059765	
7186.329316	-0.059402	
7186.331000	-0.056852	
7186.332568	-0.056510	
7186.334285	-0.055265	
7186.335831	-0.053388	
7186.337541	-0.052510	
7186.339052	-0.051813	
7186.340816	-0.049811	
7186.342293	-0.047353	
7186.344054	-0.046125	
7186.345550	-0.043958	
7186.347337	-0.040445	
7186.348813	-0.037988	
7186.350598	-0.035977	
7186.352072	-0.032533	
7186.353837	-0.030302	
7186.355330	-0.028730	
7186.357044	-0.026511	
7186.358561	-0.022946	
7186.360281	-0.022595	
7186.361809	-0.020694	
7186.363508	-0.017044	
7186.365056	-0.015074	
7186.366755	-0.014031	
7186.368308	-0.008170	
7186.369892	-0.007102	
7186.371504	-0.006663	
7186.373068	-0.006333	
7186.374677	-0.004875	
7186.376202	-0.005717	
7186.377869	-0.005132	
7186.379345	-0.005459	
7186.381057	-0.004113	
7186.382530	-0.005181	
7186.384220	-0.005511	
7186.385705	-0.005225	
7186.387400	-0.006712	
7186.388904	-0.008629	
7186.390619	-0.010893	
7186.392106	-0.010567	
7186.393773	-0.014430	
7186.395276	-0.015421	
7186.396924	-0.016484	
7186.398455	-0.018317	
7186.400080	-0.021226	
7186.401647	-0.021826	
7186.403226	-0.024025	
7186.404842	-0.027039	
7186.406395	-0.030116	
7186.408022	-0.030849	
7186.409550	-0.034636	
7186.411236	-0.036920	
7186.412713	-0.038511	
7186.414407	-0.039800	
7186.415888	-0.042330	
7186.417512	-0.044405	
7186.419000	-0.047889	
7186.420624	-0.051430	
7186.422118	-0.054661	
7186.423729	-0.057239	
7186.425249	-0.059112	
7186.426818	-0.062484	
7186.428364	-0.064405	
7186.429839	-0.065634	
7186.431517	-0.067165	
7186.433005	-0.070267	
7186.434643	-0.071600	
7186.436168	-0.073126	
7186.437795	-0.076297	
7186.439285	-0.079177	
7186.440919	-0.081252	
7186.442422	-0.082593	
7186.444056	-0.085389	
7186.445538	-0.087218	
7186.447168	-0.087621	
7186.448661	-0.089409	
7186.450241	-0.092092	
7186.451772	-0.092773	
7186.453295	-0.093840	
7186.454925	-0.096092	
7186.456420	-0.098352	
7186.458040	-0.098360	
7186.459572	-0.101027	
7186.461210	-0.101639	
7186.462692	-0.101506	
7186.464341	-0.100987	
7186.465818	-0.101522	
7186.467388	-0.101683	
7186.468871	-0.100229	
7186.470397	-0.100330	
7186.471954	-0.101131	
7186.473450	-0.100624	
7186.475034	-0.098368	
7186.476538	-0.098719	
7186.478114	-0.097027	
7186.479642	-0.094646	
7186.481206	-0.091758	
7186.482706	-0.091238	
7186.484243	-0.088519	
7186.485782	-0.086037	
7186.487352	-0.083999	
7186.488839	-0.082533	
7186.490323	-0.080365	
7186.491928	-0.077308	
7186.493426	-0.076518	
7186.495023	-0.073626	
7186.496523	-0.070846	
7186.498103	-0.067684	
7186.499632	-0.066927	
7186.501200	-0.064123	
7186.502704	-0.061799	
7186.504244	-0.060683	
7186.505787	-0.060127	
7186.507333	-0.058492	
7186.508867	-0.056345	
7186.510357	-0.056921	
7186.511937	-0.055728	
7186.513458	-0.054741	
7186.515046	-0.053831	
7186.516541	-0.055052	
7186.518110	-0.054061	
7186.519639	-0.055438	
7186.521220	-0.056325	
7186.522724	-0.059019	
7186.524239	-0.059745	
7186.525811	-0.062464	
7186.527325	-0.064288	
7186.528907	-0.066367	
7186.530395	-0.067503	
7186.531995	-0.069799	
7186.533485	-0.073590	
7186.535058	-0.074569	
7186.536573	-0.077364	
7186.538146	-0.081707	
7186.539661	-0.085643	
7186.541183	-0.087629	
7186.542766	-0.092487	
7186.544288	-0.096426	
