time (s)	magX	magY	magZ
8400.839500	-461.490967	-501.667419	-782.888367
8400.842860	-461.081787	-501.901184	-773.829407
8400.846596	-462.426086	-500.907593	-765.530151
8400.849928	-462.776733	-501.550537	-757.172424
8400.853281	-461.198730	-499.621826	-748.990051
8400.856627	-462.192261	-500.030945	-739.931091
8400.860003	-461.666260	-499.563416	-732.099365
8400.863259	-462.016907	-498.043823	-723.800171
8400.866598	-462.250732	-497.868469	-717.020447
8400.869936	-461.140259	-496.816467	-707.844543
8400.873260	-459.854492	-496.173584	-701.357117
8400.876589	-459.679138	-497.926880	-693.992981
8400.879926	-458.451782	-497.342529	-687.564026
8400.883254	-457.808899	-496.874939	-679.790771
8400.886636	-457.399780	-495.355347	-673.069580
8400.889942	-457.691956	-495.413818	-667.225037
8400.893748	-454.652832	-495.063110	-661.731140
8400.897019	-454.945068	-495.121521	-656.003540
8400.900377	-452.841003	-494.887817	-649.223877
8400.903675	-451.905884	-494.887817	-645.191162
8400.907038	-452.022827	-494.186401	-639.054382
8400.910377	-451.321411	-494.244873	-634.495667
8400.913767	-448.457642	-494.420227	-629.527771
8400.917086	-447.990051	-494.127991	-624.442993
8400.920346	-446.704285	-493.192871	-620.585632
8400.923694	-445.126221	-493.309753	-616.260681
8400.927455	-444.892456	-491.731689	-611.760376
8400.930886	-443.372864	-492.199280	-608.545898
8400.934186	-443.022217	-491.147278	-604.863831
8400.937517	-443.197571	-490.796570	-600.831116
8400.940831	-442.028625	-489.043243	-597.324402
8400.944171	-441.736450	-488.926331	-593.876160
8400.947489	-440.158386	-488.224976	-590.369385
8400.950853	-440.216858	-488.049652	-585.986023
8400.954198	-439.106384	-487.523651	-581.719482
8400.957635	-438.346619	-487.056061	-579.673889
8400.960924	-439.573914	-486.237854	-575.115173
8400.964741	-438.171265	-485.887207	-572.368225
8400.968056	-437.820557	-484.601410	-569.387512
8400.971331	-437.002319	-484.016937	-565.763916
8400.974634	-437.879028	-483.783142	-562.666260
8400.977937	-436.593201	-482.497375	-560.211548
8400.981299	-436.534729	-482.263580	-557.464661
8400.984605	-436.008789	-481.328461	-553.431885
8400.988355	-435.950317	-481.269989	-550.684998
8400.991686	-435.307434	-479.516663	-548.405579
8400.995011	-435.482788	-480.860901	-545.483337
8400.998305	-435.307434	-479.516663	-544.197571
8401.001618	-434.196960	-480.393311	-540.632385
8401.004894	-433.963196	-479.633545	-539.054321
8401.008611	-432.385132	-478.113953	-536.833435
8401.011896	-432.443604	-479.107544	-534.904724
8401.015170	-431.566956	-479.925781	-534.144897
8401.018481	-430.514893	-479.808868	-532.274658
8401.022204	-429.696655	-480.042664	-531.573364
8401.025471	-429.053772	-481.562256	-529.761536
8401.028800	-427.417297	-481.211578	-529.527771
8401.032052	-427.826416	-481.094666	-529.644653
8401.035406	-426.774353	-481.036255	-528.183533
8401.039132	-425.897705	-481.328461	-528.008179
8401.042823	-425.897705	-482.555786	-528.592651
8401.046145	-424.670410	-484.016937	-527.891296
8401.049515	-424.787231	-484.426025	-528.417297
8401.052813	-424.085937	-484.192291	-528.651123
8401.056149	-423.033875	-484.893616	-529.410889
8401.059482	-422.332520	-484.601410	-529.936890
8401.062829	-420.988281	-485.185822	-531.105774
8401.066141	-421.689697	-485.536530	-532.157776
8401.069478	-420.871399	-487.523651	-533.969604
8401.072810	-420.812988	-487.465210	-534.963196
